Comparison|||The company had a tax credit of $1.4 million|||In the year-earlier quarter, the tax credit was $3.3 million
Contingency|||futures are useful as a way to hedge portfolios|||If managers fear that the overall stock market will fall, but want to continue owning stocks, they can hold on to specific stocks and sell a corresponding amount of futures contracts
Contingency|||Margin requirements for speculators on the Chicago Mercantile Exchange are currently about 7%|||For $10 million, you can move $100 million of stocks
Contingency|||For $10 million, you can move $100 million of stocks|||That gives futures traders a lot more power
Contingency|||The S&P 500 index futures "transferred the identity of 500 stocks into one unit-making them a simple commodity to trade|||It took away the need to know the bad third-quarter report of IBM, for example
Contingency|||Futures, on the other hand, are a zero sum game -- a market for making side bets about the direction of stock prices|||You don't own anything
Contingency|||Thus, rather than seeing the excess returns to the pro-selected portfolio as being abnormal, I see those returns as simply compensations for taking on added risk|||the risk for each individual stock selected by your pros is very large
Contingency|||Moreover, your hypothetical investor has forsaken the gains to be had in reducing risk by diversifying his portfolio|||A four-stock portfolio is still exposed to a great deal of unnecessary risk
Contingency|||Your Investment Dartboard article misses the target|||The fact that stock pickers have bested a randomly selected portfolio in eight of 12 months has no bearing on the efficient-market theory
Contingency|||But its unsentimental sketches of Cairo life are vintage Mahfouz|||We see, smell and hear slums filled with "the echoes of hawkers advertising their wares interspersed with abusive language, rattling coughs and the sound of people gathering spittle in their throats and spewing into the street
Contingency|||the prose is closer to Balzac's "Pere Goriot" than it is to "Arabian Nights|||Mr. Mahfouz began writing when there was no novelistic tradition in Arabic, and he modeled his work on Western classics
Contingency|||Mr. Mahfouz began writing when there was no novelistic tradition in Arabic, and he modeled his work on Western classics|||In one sense, this limits him
Contingency|||In one sense, this limits him|||unlike a writer such as Gabriel Garcia Marquez Mr. Mahfouz's style offers little that can be labeled "Egyptian
Contingency|||reminiscent of "Crime and Punishment|||Its antihero, Said Mahran, is an Egyptian Raskolnikov who seeks nobility in robbing and killing
Contingency|||While the theme is compelling, the plot and characters are not|||We never care about Said or the "hypocrites" he hunts
Contingency|||We never care about Said or the "hypocrites" he hunts|||The Thief and the Dogs" is a pioneering work, the first stream-of-consciousness novel in Arabic, but it is likely to disappoint Western readers
Contingency|||Mr. Mahfouz has been pilloried and censored for questioning Islam and advocating peace with Israel|||Veiling his message has helped him endure
Contingency|||The shift won't affect operations|||As part of its restructuring several years ago, Exxon moved most of those out of the city and sold its 53-floor Rockefeller Center skyscraper to a Japanese company
Contingency|||it was beyond all expectations; what a coup|||Dallas, its economy based on oil and real estate, has been in a slump
Contingency|||it will cost less to run its headquarters at Las Colinas than in New York|||The company won't say how much it will save, but during at its interim location, sources say it will likely pay rent of $10 to $15 per square foot.
Contingency|||the problem is intolerable for many people|||I'm afraid of a popular revolt if this situation isn't corrected
Contingency|||But opposition legislators and others calling for help for South Korea's renters say the proposed changes don't go far enough to make it possible for ordinary people to buy a home|||Some want lower limits on house sizes
Contingency|||But others, large landowners, real-estate developers and business leaders, say the government's proposals are intolerable|||the critics are lobbying for the government to weaken its proposed restrictions and penalties
Contingency|||It's ironic that David Boren should be in the center of this mire|||A former Oklahoma governor, he's a thoughtful defender of presidential powers in foreign policy
Contingency|||Vandenberg and Rayburn are heroes of mine|||They allowed this country to be credible
Contingency|||it means a bipartisan majority|||The sustainability of U.S. foreign policy is essential Why was containment so successful?
Contingency|||Mr. Boren is confusing consensus on general principles with agreement on specific actions|||that even Grenada or the Libyan raid would have taken place if "consensus" had been required
Contingency|||that their substitute is a system that produces an absurd gridlock|||The lawyers are now in charge of our national security
Contingency|||Hong Kong financial institutions have been waiting for interest-rate futures for a long time|||The contract was first proposed more than two years ago
Contingency|||Despite the initial support expected, trading in the contract is likely to start slowly|||The wounds from the 1987 crash haven't yet healed, and not all claims against the exchange clearinghouse -- by those who bet the Hang Seng index would fall -- have been settled
Contingency|||that there may be limits on how much the contract can grow because the Hong Kong dollar isn't a widely traded currency|||the contract will be considered a success if it starts trading 500 to 1,000 lots a day
Contingency|||Caution should . . . be the rule of the day|||It would be damaging to industry and to the financial sector in general, to say nothing of banks, if prudence does not guide the financing of leveraged transactions
Contingency|||The U.S. futures exchanges compete world-wide as never before|||Today, trading in almost any commodity can be diverted from U.S. markets with just a few strokes of a keyboard
Contingency|||Today, trading in almost any commodity can be diverted from U.S. markets with just a few strokes of a keyboard.|||The U.S. exchanges need both market integrity and cost-efficiency; long-term growth depends on it
Contingency|||The U.S. exchanges need both market integrity and cost-efficiency|||long-term growth depends on it
Contingency|||It is only logical to assume that the enactment of this provision will lead to increased litigation|||In an already low-profitmargin business, commodity brokerage firms may well decide to eliminate the risk and expense of dealing with the retail public, depriving the private individual of access to the markets
Contingency|||Faced with the virtually impossible task of supervising the execution of each trade, many commodity brokerage firms are likely to stop doing business with independents and instead hire their own salaried floor brokers|||This would force out of business many of the individuals and small firms that function as floor brokers
Contingency|||voters still have very little idea what they can expect from him|||After 25 years in city politics, David Dinkins remains an enigma
Contingency|||but I can assure you I will not|||I am aware we have real budgetary problems
Contingency|||New York State Comptroller Edward Regan predicts a $1.3 billion budget gap for the city's next fiscal year, a gap that could grow if there is a recession|||If elected, Mr. Dinkins will probably have no choice but to raise taxes on overburdened businesses or cut spending in already under-serviced neighborhoods
Contingency|||He is going to face a mess|||His supporters are not venal, but their solution to everything will be to spend more money, and he won't have any money
Contingency|||Instead of focusing on the financial future, Mr. Dinkins has sold himself as a unifier for a city recently touched by racial violence and as a soothing antidote to 12 years of commotion generated by Mayor Koch|||The thing about the Dinkins candidacy is that it offers hope to a broad range of people
Contingency|||No doubt, Mr. Dinkins has been a calming influence|||He is an avuncular figure who remembers the birthdays of colleagues' children, opens doors for women, and almost never has a bad word to say about anybody
Contingency|||But even in his front-runner campaign, he has shown signs of the indecisiveness and confusion that some say has plagued his tenure as Manhattan borough president -- and might hinder him as mayor|||Over the last few weeks, he has frittered away roughly half of what was once a 33-point lead in the polls over Mr. Giuliani
Contingency|||Everybody else had brought in the wagons and made their deal|||He would have got a lot more done if he made up his mind faster
Contingency|||One Board member, Bronx Borough President Ferdinand Ferrer, was said to be so impatient with Mr. Dinkins's behavior at many meetings that he withheld his support for Mr. Dinkins's mayoral effort until late in the primary campaign|||I had some problem from time to time on the length of time he would take to make up his mind
Contingency|||Despite many doubts about his candidacy, white New Yorkers aren't expected to desert in sufficient numbers to turn the election to Mr. Giuliani|||The former U.S. attorney, who prosecuted targets ranging from Mafia dons to Wall Street executives, has succeeded in raising questions about Mr. Dinkins's ethical standards, but so far has failed to generate excitement about his own candidacy
Contingency|||The family's long absence is understandable|||The family was in Allied countries during both World War I and the long period of economic strife of the 1920s
Contingency|||IBM's visits to the debt market are closely watched by treasurers at other corporations and by credit market analysts|||Some analysts believe the company has the ability to pinpoint the trough in interest-rate cycles
Contingency|||We were oversold and today we bounced back|||Some accounts came in for some blocks in the secondary {market}, which we haven't seen for a while
Contingency|||The market's tone improved after Monday's pricing of $813 million New York City general obligation bonds|||The issue's smooth absorption eased fears that supply would overwhelm demand in coming sessions
Contingency|||To suggest that a 10% drop in ozone by the middle of the next century would be negligible is irresponsible and shortsighted|||that a mere 2% drop in ozone would increase birth defects and mutations by allowing solar radiation to alter the DNA structure
Contingency|||that a mere 2% drop in ozone would increase birth defects and mutations by allowing solar radiation to alter the DNA structure|||Even a small reduction is unacceptable and to suggest otherwise is penny-wise and pound-foolish
Contingency|||Mr. Melloan's column was right on the money, but I wish it could have gone one step further|||As an employee of a major refrigerator and freezer manufacturer, I have been heavily involved in dealing with the political manifestations of the Rowland-Molina theory (named after the researchers who found in 1974 that chlorofluorocarbons contributed to the depletion of ozone in the earth's atmosphere) and the Montreal Protocol
Contingency|||that such measurements are a vital part of any intellectually honest evaluation of the threat posed by CFCs|||While recognizing that professional environmentalists may feel threatened, I intend to urge that UV-B be monitored whenever I can
Contingency|||Although, like all scientific theories, it had its initial opponents, few experts question the connection now|||The discovery of the ozone "hole" over Antarctica and the results of ground-based and high-altitude aircraft experiments conducted over the past several years serve as evidence that ozone depletion is related to CFC concentrations
Contingency|||that LTV may be trying to send a signal to major customers, such as Chrysler Corp. and Whirlpool Corp., that steelmakers need more money|||Both companies are in the process of negotiating contracts with LTV and others
Contingency|||At first glance, gold and utilities seem strange bedfellows|||After all, gold prices usually soar when inflation is high
Contingency|||But the two groups have something very important in common: They are both havens for scared money, stocks for people who hate stocks|||It's as if investors, the past few days, are betting that something is going to go wrong -- even if they don't know what
Contingency|||Still, a lot of investors clearly have revived their interest in gold and utility shares|||The primary overriding thing is that people are frightened
Contingency|||that people are frightened|||The aftershocks of Oct. 13 (when the Dow Jones Industrial Average dropped 190 points) are still reverberating
Contingency|||Britain's unsettled political scene also worries some investors|||The gyrations in the British government" add political uncertainty on top of high inflation and a ragged stock market
Contingency|||Utilities are a classic example|||Even in recessions, people continue to use electric power, water and gas at a fairly steady rate
Contingency|||Mr. Wachtel points to Coca-Cola Co. and PepsiCo Inc. as examples|||They're selling for 18 to 22 times estimated 1990 per-share earnings
Contingency|||But the two groups represent a further step in defensiveness|||If gold stocks and utilities continue to lead, it may signal that the market is in for rough times
Contingency|||We are going to explode lower|||Anyone telling you to buy stocks in this market is technically irresponsible
Contingency|||Robert Stovall, a veteran New York money manager and president of Stovall/ Twenty-First Securities, has money in both gold and utility issues|||we could very well have {an economic} slowdown, beginning very soon if not already
Contingency|||that "you don't buy {gold stocks} based on powerful fundamentals|||In addition to having high price-earnings ratios, most pay puny dividends, if any
Contingency|||it makes sense to have some money in both utilities and gold|||My outlook is for a decline of about 10% in corporate profits" in 1990
Contingency|||the buy programs came from very large institutional accounts that were also active in the stock-index futures markets|||At one point, almost all of the shares in the 20-stock Major Market Index, which mimics the industrial average, were sharply higher
Contingency|||the market's surge also reflected an easing of concerns about volatility because of moves by a number of brokerage firms to curtail or cease stock-index arbitrage|||Much of the instability in stock prices lately has been blamed on arbitrage trading
Contingency|||Also, SmithKline Beecham rose 1 3/8 to 39 1/2|||An advisory committee of the Food and Drug Administration recommended that the agency approve Eminase, the company's heart drug
Contingency|||ERC Corp. rose 7/8 to 12|||The company agreed definitively to be acquired by Ogden Corp. in a stock swap valued at about $82.5 million
Contingency|||Courtaulds has been under pressure to enhance shareholder value since takeover speculators -- including Australian financier Kerry Packer -- surfaced holding small stakes last year|||Though Mr. Packer has since sold his stake, Courtaulds is moving to keep its institutional shareholders happy
Contingency|||Earlier this year, Penney abandoned another home shopping venture, Telaction Corp., after investing $106 million in it|||The company took a $20 million charge in the fiscal first quarter ended April 29, related to discontinuing the service
Contingency|||Both plans would drop child-care provisions from the House version of the deficit-reduction legislation and let it progress as a separate bill|||While that could make it vulnerable to a veto by Mr. Bush that a presidential rejection would give their party a valuable issue in next year's congressional elections
Contingency|||Yesterday, Mr. Dole seemed weary of the Bush administration's strategy of pushing the capital-gains measure at every chance in the face of Democratic procedural hurdles|||Pushing the issue on legislation needed to avoid default by the federal government doesn't seem to be very good strategy to me
Contingency|||At 12:01 a.m. EST today, the federal government's temporary $2.87 trillion debt limit expired|||To avoid default, lawmakers must pass legislation raising the limit to $3.12 trillion from $2.80 trillion by next Wednesday, according to the Treasury
Contingency|||Hungary's Parliament voted to hold a national referendum on an election to fill the new post of president|||The balloting to decide when and how to fill the position, which replaces a collective presidency under a pact signed by the ruling Socialists and opposition groups, is to be held Nov
Contingency|||The Big Board is considering reviving a curb on program trading when the market is volatile|||The exchange, which abandoned such a "collar" last year because it didn't prevent sharp price swings, has been under attack recently for not taking action against program trading
Contingency|||Sea Containers plans to sell $1.1 billion of assets and use some of the proceeds to buy about 50% of its common shares for $70 each|||The company is trying to fend off a hostile bid by two European shipping firms
Contingency|||One would have thought this would have happened two or three years ago as the labor market tightened|||It is a considerably delayed reaction
Contingency|||Despite the big increases in health-care costs, wages still account for a far greater share of overall labor costs|||The overall private-sector employment cost index, which includes both wages and benefits, rose 4.7% in the 12 months ended in September, compared with 4.5% for both the 12 months ended in June and the 12 months ended September 1988
Contingency|||that its real estate alone had a value of $4.5 billion|||Throw in its railroad, minerals, pipeline and oil assets and the Chicago-based conglomerate should be worth 30 a share
Contingency|||The implied current net asset value of 22.70 {per share} is well below the 30 level that the Street believed|||The upside was in the intangible real estate . . . which is no longer an intangible
Contingency|||But it isn't clear why that should be so|||The spinoff argument, after all, reverses the current notion that assets are worth more to private buyers than to public shareholders
Contingency|||Business across the country is spending more time addressing this issue|||It's a bottom-line issue
Contingency|||when Sen. Kennedy introduced a bill that would require employers to provide a minimum level of health insurance to workers but doesn't contain cost-control measures|||Partly in response, a bipartisan group of senators from the finance and labor committees is drafting a plan to attract broader support
Contingency|||At 11.1% of gross national product, U.S. health costs already are the highest in the world.|||Management and labor worry that the gap makes U.S. companies less competitive
Contingency|||that health costs add $700 to the price of each of its cars, about $300 to $500 more per car than foreign competitors pay for health|||The cost of health care is eroding standards of living and sapping industrial strength
Contingency|||capitalists who want to socialize the entire financing system" for health|||They hope they can buy some government cost discipline," but this is a false hope
Contingency|||So far neither the Bush administration nor Congress is prepared to lead the way toward revamping health care|||The administration lacks a comprehensive health-care policy.
Contingency|||But 1991 could be a window for action|||The pressure for change will rise with costs
Contingency|||The pressure for change will rise with costs|||employers are really going to be the ones to push for major change
Contingency|||The NAM embraces efforts to measure the effectiveness of medical treatments and then to draft medical-practice guidelines|||that such standards will improve treatment while limiting unnecessary tests and medical procedures
Contingency|||Limiting care won't be easy or popular|||To slow the rise in total spending, it will be necessary to reduce per-capita use of services
Contingency|||To slow the rise in total spending, it will be necessary to reduce per-capita use of services|||This will "require us to define -- and redefine -- what is `necessary' or `appropriate' care
Contingency|||This will "require us to define -- and redefine -- what is `necessary' or `appropriate' care|||This involves trade-offs and {it} cuts against the grain of existing consumer and even provider conceptions of what is `necessary
Contingency|||The consortium faced a setback in May when technical problems forced it to postpone the September launch until next spring|||Continued uncertainty about the timing of the consortium's debut could make it hard to find a #450 million cash injection
Contingency|||The estimated $1.8 billion for the space station would be double last year's level, and total appropriations for the National Aeronautics and Space Administration would grow 16% to nearly $12.4 billion|||A string of costly projects, including the high-speed national aerospace plane and the advanced communications technology satellite, would continue to be developed within these limits
Contingency|||Among the subsidies continued in the transportation bill is $30.7 million to maintain commercial air service for an estimated 92 communities, often in rural areas|||Senate Appropriations Committee Chairman Robert Byrd (D., W.Va.) strongly resisted deeper cuts sought by the House
Contingency|||Jaguar ended 22 higher at 747|||fresh buying was drawn into Jaguar
Contingency|||that the West German company held talks with the luxury auto maker over possible joint ventures|||Although Daimler has said it isn't interested in mounting a bid for Jaguar its name further underlined the growing interest in the British concern
Contingency|||Declining issues outnumbered advancers 551 to 349; 224 issues were unchanged|||Investors mostly took a wait-and-see attitude Monday amid uncertainty in the foreign-currency market and New York stocks
Contingency|||The energy of participating investors streamed into Tokyu Group shares|||that each Group company will buy the others' stocks to defend themselves against a rumored takeover
Contingency|||The collar was penetrated on a number of occasions," meaning securities firms figured out ways to conduct program trades to circumvent the collar and use the Big Board's electronic trading system|||That was when the exchange took a new tack by publishing monthly statistics listing the top 15 program trading firms
Contingency|||that his predicting continued volatility is just "how the world is|||If bringing the message is a crime, I'm guilty of it
Contingency|||Most revisions it will propose will be geared toward slowing down program trading during stressful periods|||Computers have made trading more rapid, but that can be fixed with some fine-tuning
Contingency|||that big institutions have so much control over public investments that they can cause big swings in the market, regardless of index arbitrage|||A lot of people would like to go back to 1970," before program trading
Contingency|||Japan's markets are more stable|||If that continues, a significant number of {U.S.} companies will go over there to raise money
Contingency|||This is a problem that's taking on a life of its own|||The program trading situation seems to have driven individual investors as well as others out of the market, and even Europeans are suspicious
Contingency|||The program trading situation seems to have driven individual investors as well as others out of the market, and even Europeans are suspicious|||The exchange should take a pro-active position
Contingency|||I refuse to get out there and tell everybody everything is hunky-dory|||We have a major problem, and that problem is volatility
Contingency|||It sure smells like it|||30% of the loans he sampled were "dead meat on the day they were made
Contingency|||That would be a formula for ensuring even more FHA red ink|||Experience has shown that the most important element in predicting a housing-loan default is the down payment
Contingency|||Because a purchaser can use an FHA loan to finance all points and closing costs, the FHA can wind up lending more than a house is worth|||If housing prices continue to fall, many borrowers would be better off walking away from their homes and leaving taxpayers with the losses
Contingency|||Exhibit A is last week's House vote to fund 40 pet projects out of the same discretionary fund that is at the heart of the HUD scandal|||None of the grants had been requested by HUD, judged competitively or were the subject of a single hearing
Contingency|||that Mr. Pierce is only part of the problem -- and a part that's gone|||If HUD is to be reformed Members of Congress will "have to start looking into, and doing something about, the practices of their colleagues
Contingency|||Fujitsu itself, which said the bid hadn't been approved by its headquarters, was clearly embarrassed|||The bid wasn't "socially acceptable
Contingency|||but questioning whether the company can survive in a highly competitive marketplace|||It's a wait-and-see attitude
Contingency|||he expects the dollar to recover within the next three months to around 1.88 marks as U.S. economic data, particularly U.S. trade figures, level off|||that the Fed won't ease rates further, but predicted Bundesbank officials will relax key rates in West Germany
Contingency|||But I'm not one of these great dollar bears you see more of these days|||I can't really see it dropping far below 1.80 marks
Contingency|||Scott Greene, chief foreign exchange dealer with Julius Baer & Co. in New York, fits the description of a "great dollar bear|||He predicted the U.S. unit will skid below 1.80 marks to around 1.78 marks this month and 1.75 marks by the beginning of the new year
Contingency|||Still, 20 Japanese companies, including giants such as Sanyo Industries Corp., Matsushita Electronics Components Corp. and Sony Corp. have set up shop in the state of Northern Baja California|||Keeping the Japanese happy will be one of the most important tasks facing conservative leader Ernesto Ruffo when he takes office Nov. 1, as the first opposition governor in Mexico's modern history
Contingency|||But Mexico urgently needs more help|||Mr. Salinas's unpopular Institutional Revolutionary Party, or PRI, faces congressional elections in 1991.
Contingency|||But maintaining the key components of his strategy will consume enormous amounts of foreign exchange|||Mr. Salinas needs big investment inflows -- quickly
Contingency|||Mexico is sending a number of missions to Japan looking for a major breakthrough investment in telecommunications, petrochemicals or tourism|||It is hoped that other Japanese would then follow the leader
Contingency|||The technology group includes many of the OTC market's biggest stocks|||rallies in the group historically have lifted the market, while weakness in the sector often sank unlisted share prices broadly
Contingency|||But increasing volatility in the sector has exhausted investors who try to follow its dips and swings|||The stocks have been pummeled repeatedly by inventory gluts and disappointing earnings as the industry matures and slows
Contingency|||The OTC technology sector is far from a cohesive unit|||The group is divided primarily between software, semiconductors and computers.
Contingency|||while the smaller stocks churn on their individual merits or faults|||The volatility of smaller technology companies has served the group well overall in recent stock trading, according to Hambrecht & Quist's technology stock indexes
Contingency|||The interest-rate sensitives aren't rallying with the rest of the market because of fears about what the (Federal Reserve) will do|||that investors will scour the October employment report, due out Friday, for clues about the direction of the economy and the immediate outlook for interest rates
Contingency|||MCI Communications added 1 1/2 to 43 3/8|||The company has toted up over $40 million in contracts in the past two days
Contingency|||Florida National Banks of Fla. slid 1 1/8 to 24 3/4|||it is delaying approval of First Union Corp. 's proposed $849 million acquisition of Florida National Banks pending the outcome of an examination into First Union's lending practices in low-income heighborhoods
Contingency|||Now Pinkerton's could become entangled in a protracted legal fracas with its former parent|||The company recently filed suit in state court in Los Angeles against American Brands, seeking at least $40 million in damages from the Old Greenwich, Conn.-based company
Contingency|||When Boyer met Robert Swanson, an M.I.T.-trained chemist-turned-entrepreneur in 1976, they saw dollar signs|||With $500 apiece and an injection of outside capital, they formed Genentech Inc
Contingency|||With $500 apiece and an injection of outside capital, they formed Genentech Inc|||Commercial gene-splicing was born
Contingency|||But today, the company needs its entrepreneurial spirit more than ever|||One large competitor after another is leaping into the booming market Specialized helped create, turning out mountain bikes with such well-known names as Schwinn, Peugeot, Raleigh and Nishiki
Contingency|||Mr. Eidsmo is one of several key people from outside the cycling industry who were hired to bring the free-wheeling, fast-growing company under tighter control|||We had a lot of problems
Contingency|||Since his arrival in May, Mr. Eidsmo has put in place techniques learned while working for Citicorp, such as management-by-objective, detailed project plans and forecasts of company sales and product trends|||We're finally getting -- and it's been very painful -- some understanding of what the company's long-term horizon should begin to look like
Contingency|||But it's risky|||You don't want to lose the magic" of the company's creative drive
Contingency|||But demands on the company's creativity are certain to grow|||Competition is intensifying as larger companies invade a mountain-bike market Mr. Sinyard's company once had virtually all to itself
Contingency|||One especially coveted Specialized market the new players are targeting is mountain-bike accessories|||Accessories not only sell faster than whole bikes, they also offer profit margins nearly double the 25% to 30% or so on sales of complete cycles
Contingency|||In response to the internationalization of the business, Mr. Sinyard's company is replacing independent distributors overseas with wholly owned subsidiaries|||The move will cut out the cost of a middleman and give Specialized more control over marketing and sales
Contingency|||The seemingly mundane action has important implications for banks' recent entry into the underwriting of corporate securities|||The Fed's action increases the volume of publicly registered securities that banks' securities affiliates will be able to underwrite
Contingency|||Over the past two years, the Fed has given a handful of banks' securities affiliates permission to underwrite and deal in a variety of corporate, asset-backed and municipal securities that had previously been the sole domain of securities firms|||Securities firms have challenged those Fed approvals, saying they violate federal laws separating the banking and securities businesses
Contingency|||More importantly, the volume of options written exceeded those purchased by almost 2-to-1|||With such a lopsided book of options Chemical was more vulnerable to erroneous valuation assumptions
Contingency|||ts valuation methodologies "are recognized as some of the best on the Street|||Not a lot was needed to be done
Contingency|||Despite all the furor over program trading, program trading played a big role in yesterday's rally|||that as the big brokerage firms back out of program trading for their own accounts or for clients, opportunities increase for others to engage in the controversial practice
Contingency|||A slowing economy and its effect on corporate earnings is the foremost concern of many traders and analysts|||Unless the Federal Reserve eases interest rates soon to stimulate the economy, profits could remain disappointing
Contingency|||For the paper industry specifically the deal will spur a wave of paper-company takeovers, possibly involving such companies as Union Camp Corp., Federal Paperboard Co. and Mead Corp|||that Georgia-Pacific's offer, the first hostile bid ever among major players in the paper industry, ends the unwritten taboo on hostile bids, and will push managements to look closely at the industry's several attractive takeover candidates
Contingency|||It was just the culture of the industry that kept it from happening|||The Georgia-Pacific offer has definitely changed the landscape
Contingency|||The Georgia-Pacific offer has definitely changed the landscape|||It's much easier to be second
Contingency|||A Georgia-Pacific acquisition of Nekoosa would create the largest U.S. forest-products company|||Based on 1988 sales, Georgia-Pacific ranked third at $9.51 billion, behind Weyerhaeuser Co. at $10 billion and International Paper Co. at $9.53 billion.
Contingency|||Based on 1988 sales, Georgia-Pacific ranked third at $9.51 billion, behind Weyerhaeuser Co. at $10 billion and International Paper Co. at $9.53 billion.|||The combined company would have had 1988 sales of $13.1 billion
Contingency|||Nobody knows how deep the cycle is going to be|||Depending on how far down you go, it may be difficult to pay off that debt
Contingency|||that even under those conditions, the company still would realize a savings of tens of millions of dollars in the first year following a merger|||The fit is so good, we see this as a time of opportunity
Contingency|||In addition to the usual array of defenses, including a so-called poison pill and a staggered board, Nekoosa has another takeover defense: a Maine state law barring hostile bidders from merging acquired businesses for five years|||Nekoosa is incorporated in Maine
Contingency|||I don't think anyone is now immune from takeover|||Every paper company management has to be saying to itself, `Before someone comes after me, I'm going to go after somebody. '
Contingency|||that it was considering a restructuring to ward off a hostile takeover attempt by two European shipping concerns|||In late May, Stena Holding AG and Tiphook PLC, launched a $50-a-share, or $777 million, tender offer for the Hamilton, Bermuda-based Sea Containers
Contingency|||the court has indicated it will make a decision on or about Nov. 27|||Sea Containers will soon set a date for its annual shareholder meeting to seek holder approval for the offer
Contingency|||The White House had enough votes to sustain a veto but chose to avoid a confrontation|||The only permanent losers will be the 200,000 or so workers everyone agrees will be priced out of a job at the $4.25 rate Congress is likely to approve today
Contingency|||The campaign, a patriotic celebration of the 200th anniversary of the Bill of Rights, doesn't mention cigarettes or smoking|||cigarette ads have been prohibited on television since 1971
Contingency|||Most people haven't got a clue who we are|||If they think well of the company through our support of the Bill of Rights, it follows they'll think well of our products
Contingency|||and in fact it's a killer|||It should be treated like the Medellin {drug} mafia, not the Founding Fathers
Contingency|||It's very popular to drape yourself in the flag these days|||If you can do that and at the same time send a message that supports your business, that's brilliant
Contingency|||The overall London market, following Wall Street's early nosedive, took a late beating|||The Financial Times-Stock Exchange 100-Share Index plummeted 40.4 points to close at 2149.3
Contingency|||A lot of people are getting hurt on this wicked whipsawing|||There should be no great rush for investors to buy this
Contingency|||The Miami-based company's stock fell $1.75 yesterday to $20.75 a share in heavy American Stock Exchange composite trading|||that Waertsilae Marine Industries, the Finnish shipyard that is building its three new cruise ships, planned to file for bankruptcy
Temporal|||Mr. McDonough was born in Tokyo and attended 19 schools in places ranging from Hong Kong to Shaker Heights, Ohio, before entering Dartmouth College|||He earned a master's degree in architecture from Yale
Temporal|||It hops on an issue that is unopposable -- cleaner air, better treatment of the disabled, better child care|||It comes up with a toned-down version of a Democratic proposal
Temporal|||It comes up with a toned-down version of a Democratic proposal|||The bill gets signed into law
Temporal|||It is an intentionally vague document that will create a wave of litigation|||Judges will write the real bill as suits roll through the courts
Temporal|||that the tobacco and food giant has asked Backer Spielvogel Bates Worldwide Inc., a unit of Saatchi & Saatchi Co., and possibly others to work on creative ideas for the account|||another potential contender is WPP Group's Ogilvy & Mather agency
Temporal|||The brand early on achieved an upscale appeal -- a trait that some analysts believe is partly responsible for its staid performance|||Philip Morris, trying to revive the Benson & Hedges franchise, put the account up for review in 1986
Temporal|||that the rate was lowered by the Fed from around 9%, where it had been since July, to about 8 3/4% in early October on the heels of a weak employment report|||it ended Friday at about 8 11/16%
Temporal|||When the size of the Refcorp offering was announced last week and when-issued trading activity began, the bailout bonds were yielding about 1/20 percentage point more than the Treasury's benchmark 30-year bond|||On Friday, the yield was quoted at about 1/4 percentage point higher than the benchmark bond, an indication of weak demand
Temporal|||Interpublic approached Saatchi in August about buying its Campbell-Mithun-Esty unit, but was turned down by Chairman Maurice Saatchi|||More recently, Interpublic inquired about one of Saatchi's smaller communications companies but again was rebuffed
Temporal|||It named a new chief executive officer, former IMS International head Robert Louis-Dreyfus|||It rebuffed an offer by Carl Spielvogel, head of Saatchi's Backer Spielvogel Bates unit, to lead a management buy-out of all or part of Saatchi
Temporal|||It also contends that Young & Rubicam never told the tourist board about its relationship with Ad Ventures, a Jamaican firm hired by the agency|||The U.S. indictment charges Ad Ventures was a front used to funnel kickbacks to the then-minister of tourism
Temporal|||How interestingly clever of Robert Goldberg to use the form of pretend advocacy journalism to explain his perception of "Days of Rage" in his television critique (Leisure & Arts, Sept 11|||He chastises Jo Franklin-Trout for her inept presentation of advocacy journalism, judging her project as "intellectually slipshod
Temporal|||But the advance faltered as index-options traders and investors jittery about the U.K. economic outlook took over|||The unexpectedly wide U.S. August trade deficit of $10.77 billion hit an already jittery U.K. market in midafternoon
Temporal|||On the corporate front, Ford Motor announced that it raised its stake in U.K. luxury car maker Jaguar to 10.4% from 5%|||Jaguar shares jumped 23 before easing to close at 654, up 6
Temporal|||Amstrad, a British computer hardware and communications equipment maker, eased 4 to 47|||It announced a 52% plunge in pretax profit for the latest year
Temporal|||Apogee Robotics Inc. said its board extended until Feb. 1 the exercise period of Apogee's existing stock purchase warrants outstanding|||The expiration date had been Nov. 3
Temporal|||A corporation that wants to sell stock or bonds goes to a Wall Street firm, which purchases the securities outright, accepting the financial risk of finding buyers|||If the investment bank can sell the securities at a higher price than it paid the issuer, it makes a profit
Temporal|||In November 1987, Sotheby's essentially offered a Wall Street-style "bridge loan" of about $27 million to Australian businessman Alan Bond to enable him to purchase Vincent van Gogh's "Irises" for $53.9 million|||It was the highest bid in history for a work of art
Temporal|||Indeed, the U.S. unit edged lower as the Dow Jones Industrial Average dropped about 13 points in early trading|||A slight recovery in the stock market gave currency traders confidence to push the dollar higher
Temporal|||Industries in both countries have requested a speedup of tariff cuts on hundreds of products|||Some tariffs were eliminated when the trade pact took effect Jan. 1
Temporal|||Coke said it will test market a caffeine-free version of its flagship brand, Coca-Cola Classic, beginning next week in Charlotte, N.C|||Other, as yet unnamed, cities will follow
Temporal|||Coke introduced a caffeine-free sugared cola based on its original formula in 1983|||It switched to a caffeine-free formula using its new Coke in 1985
Temporal|||market players overnight in Tokyo began bidding up oil prices|||The rally spread into European markets
